id,name,genre,director,actor,poster,description,rating,year
78128,Spiritual Kung Fu,"Action, Comedy, Fantasy",Wei Lo,"Jackie Chan, Chih-Ping Chiang, Hsiu-yi Fang, Hong Hsu",https://m.media-amazon.com/images/M/MV5BMzQ2NjM1OTA0NV5BMl5BanBnXkFtZTcwMjI1MzcyMQ@@._V1_SX300.jpg,Jackie Chan plays the part of the class clown in a shaolin temple whose deadliest secret is stolen. All is lost until Jackie's character discovers the dancing blue ghosts with bright red hair who haunt the library.,0,1978
3480446,Almost Mercy,Horror,Tom DeNucci,"Kane Hodder, Bill Moseley, Danielle Guldin, Allie Marshall",https://m.media-amazon.com/images/M/MV5BMTk4MjE3MzY5N15BMl5BanBnXkFtZTgwMjM5NTg2NTE@._V1_SX300.jpg,Jackson and Emily aren't like the other kids. Two burgeoning sociopaths on the brink of total meltdown. Ticking time bombs seeking revenge. Who will unravel first?,0,2015
80373,Light Years Away,Drama,Alain Tanner,"Trevor Howard, Mick Ford, Bernice Stegers, Henri Virlojeux",https://m.media-amazon.com/images/M/MV5BMjA2OTE3MDI3MF5BMl5BanBnXkFtZTcwNjczNDQzMQ@@._V1_SX300.jpg,A young drifter meets up with a strange old man who claims that he has been taught to fly by birds.,0,1981
80913,The Idolmaker,"Biography, Drama, Music",Taylor Hackford,"Ray Sharkey, Tovah Feldshuh, Peter Gallagher, Paul Land",https://m.media-amazon.com/images/M/MV5BMTkxMjAwMzU5OF5BMl5BanBnXkFtZTcwODgzNzA2NA@@._V1_SX300.jpg,"Based on the life of rock promoter/producer Bob Marcucci, who discovered, among others, Frankie Avalon and Fabian.",0,1980
81480,Seems Like Old Times,"Comedy, Romance",Jay Sandrich,"Goldie Hawn, Chevy Chase, Charles Grodin, Robert Guillaume",https://m.media-amazon.com/images/M/MV5BMjA4NDExODQ2NF5BMl5BanBnXkFtZTcwODQzNDkyMQ@@._V1_SX300.jpg,"Writer Nick Gardenia is kidnapped from his California cliffhouse and forced to rob a bank. Now a fugitive, he seeks help from his ex, Glenda. She is a public defender remarried to a prosecutor, and we get a houseful of hijinks.",0,1980
82159,Charlie Chan and the Curse of the Dragon Queen,"Comedy, Mystery",Clive Donner,"Peter Ustinov, Lee Grant, Angie Dickinson, Richard Hatch",https://m.media-amazon.com/images/M/MV5BMTY5NDAwNDI1NF5BMl5BanBnXkFtZTYwODA2Mjg5._V1_SX300.jpg,"Famous detective Charlie Chan is called out of retirement to help a San Francisco detective solve a mysterious series of murders. With his bumbling grandson as his sidekick, Chan also encounters an old nemesis known as the Dragon Queen who is the prime suspect.",0,1981
85363,Copper Mountain,"Music, Comedy",David Mitchell,"Jim Carrey, Alan Thicke, Richard Gautier, Ziggy Lorenc",https://m.media-amazon.com/images/M/MV5BNzE1MzY0NTE2NF5BMl5BanBnXkFtZTcwNDY4MTkzMQ@@._V1_SX300.jpg,"Two friends travel to a ski resort, with one looking to hit the slopes, while the other spends time trying to pick up women.",0,1983
84628,Sans Soleil,Documentary,Chris Marker,"Florence Delay, Arielle Dombasle, Riyoko Ikeda, Charlotte Kerr",https://m.media-amazon.com/images/M/MV5BMTM5MzIyNTIxMV5BMl5BanBnXkFtZTcwODIyMTY0MQ@@._V1_SX300.jpg,"""He wrote me...."" A woman narrates the thoughts of a world traveler, meditations on time and memory expressed in words and images from places as far-flung as Japan, Guinea-Bissau, Iceland, and San Francisco.",0,1983
84749,The Sword and the Sorcerer,"Action, Fantasy, Adventure",Albert Pyun,"Lee Horsley, Kathleen Beller, Simon MacCorkindale, George Maharis",https://m.media-amazon.com/images/M/MV5BMTA5MDIzNTk3MjNeQTJeQWpwZ15BbWU4MDU2OTczNTEx._V1_SX300.jpg,A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.,0,1982
90968,Dr. Otto and the Riddle of the Gloom Beam,Comedy,John R. Cherry III,"Jim Varney, Glenn Petach, Myke R. Mueller, Jackie Welch",https://m.media-amazon.com/images/M/MV5BMTM2MTUwMzA0N15BMl5BanBnXkFtZTcwNDM5NTQxMw@@._V1_SX300.jpg,Dr. Otto grows a hand out of the top of his head and tries to destroy the world.,0,1986
